Date,Open,High,Low,AdjClose,Volume
5/23/2022,250.128,256.012,248.111,255.179,33886627.59
5/24/2022,252.478,255.844,248.18,254.171,29666577.7
5/25/2022,252.721,259.026,251.727,257.011,29159987.85
5/26/2022,256.765,261.505,255.944,260.32,25538126.37
5/27/2022,262.845,267.601,261.945,267.506,27487748.1
5/31/2022,266.81,269.003,263.285,266.163,38638684.83
6/1/2022,269.418,271.862,264.372,266.702,25834414.17
6/2/2022,258.9,268.884,256.109,268.815,44951703.17
6/3/2022,264.636,267.711,262.775,264.352,28660515.39
6/6/2022,266.351,268.424,261.611,263.11,22880584.04
6/7/2022,261.038,267.397,260.36,266.781,23350788.19
6/8/2022,266.006,267.269,263.951,264.736,17744787.48
6/9/2022,262.159,266.985,259.074,259.233,27006570.64
6/10/2022,255.11,255.11,247.229,247.681,32120009.94
6/13/2022,239.967,243.799,236.461,237.176,47124895.44
6/14/2022,238.742,240.582,236.442,239.359,29265747.65
6/15/2022,243.098,249.941,241.246,246.477,33821613
6/16/2022,240.816,242.224,237.918,239.829,33880275.26
6/17/2022,239.563,245.243,238.908,242.452,44008476.73
6/21/2022,245.002,249.403,244.274,248.414,30569931.24
6/22/2022,246.604,251.772,245.115,247.816,26517798.77
6/23/2022,250.206,253.926,248.306,253.427,26415893.89
6/24/2022,256.312,262.356,256.226,262.08,34650512.83
6/27/2022,262.576,262.67,257.753,259.33,25142838.65
6/28/2022,258.44,261.307,250.941,251.097,27967253.47
6/29/2022,252.183,256.473,250.392,254.797,20500117.27
6/30/2022,251.654,254.081,247.592,251.44,32411147.65
7/1/2022,251.011,254.319,249.266,254.131,23327310.41
7/5/2022,250.783,257.462,249.393,257.333,23464124
7/6/2022,258.213,262.365,256.893,260.621,24335191.9
7/7/2022,259.554,263.406,259.457,262.765,21307089.87
7/8/2022,259.233,262.473,257.758,262.042,20080215.94
7/11/2022,260.073,260.936,256.676,258.957,19937579.12
7/12/2022,260.3,260.36,246.748,248.345,36637435.48
7/13/2022,244.939,248.228,242.901,247.416,30129819.71
7/14/2022,245.31,249.783,240.778,248.746,25641003.67
7/15/2022,250.352,254.905,249.426,251.332,30412377.33
7/18/2022,254.299,255.367,247.984,248.913,21424718.79
7/19/2022,252.168,254.27,248.355,254.081,25548807.56
7/20/2022,254.444,259.311,253.476,256.765,23276841.11
7/21/2022,254.338,259.33,251.634,259.283,22885009.94
7/22/2022,259.673,259.762,253.631,254.896,22350404.06
7/25/2022,255.518,256.012,251.421,253.398,21507418.58
7/26/2022,254.406,254.426,244.333,246.613,40191539.8
7/27/2022,255.68,264.382,253.417,263.1,46980117.7
7/28/2022,264.089,272.009,262.247,270.61,34176663.17
7/29/2022,271.872,276.08,270.823,274.848,32842076.44
8/1/2022,271.99,275.376,270.05,272.173,22001368.12
8/2/2022,270.206,272.057,266.662,269.052,23242012.08
8/3/2022,270.952,277.549,270.803,276.542,24023096.3
8/4/2022,275.885,277.843,274.286,277.696,18486686.24
8/5/2022,273.291,277.696,272.831,276.974,17134237.61
8/8/2022,278.088,279.918,273.458,274.436,19159967.79
8/9/2022,273.772,277.137,271.783,276.375,23907024.06
8/10/2022,282.121,283.727,280.919,283.091,25217128.93
8/11/2022,284.744,285.097,280.496,280.995,20496132.64
8/12/2022,282.425,285.784,280.919,285.784,23104619.33
8/15/2022,284.892,288.006,284.021,287.31,18473393.23
8/16/2022,285.861,287.868,284.325,286.565,18490990.58
8/17/2022,284.26,287.803,283.997,285.811,18605200.63
8/18/2022,284.701,286.39,283.614,284.684,17517464.47
8/19/2022,283.436,283.778,280.16,280.739,20966530.7
8/22/2022,276.744,277.118,271.979,272.498,25544134.69
8/23/2022,271.211,273.586,270.193,271.211,17865258.6
8/24/2022,270.201,271.988,269.908,270.575,18486619.13
8/25/2022,272.085,273.744,269.328,273.576,16903060.48
8/26/2022,273.803,275.039,262.912,263.021,28080333.7
8/29/2022,260.824,262.344,258.862,260.215,20730579.63
8/30/2022,261.626,262.002,255.729,257.997,23205917.71
8/31/2022,260.372,262.059,256.389,256.527,25269709.03
9/1/2022,253.975,255.958,250.579,255.476,23711845.3
9/2/2022,256.746,259.734,249.657,251.216,23295928.91
9/6/2022,251.356,252.955,247.175,248.461,21739354.56
9/7/2022,249.883,253.935,248.431,253.21,24591754.24
9/8/2022,252.639,255.506,249.972,253.63,20711587.47
9/9/2022,255.573,260.215,255.369,259.458,22519047.31
9/12/2022,260.754,262.392,260.145,261.608,19109061.12
9/13/2022,253.945,255.476,246.831,247.224,33996219.93
9/14/2022,248.735,249.423,245.134,247.451,24373888.18
9/15/2022,245.046,246.646,239.406,240.739,32138722.83
9/16/2022,239.64,240.661,237.484,240.11,40558774.28
9/19/2022,237.881,240.505,236.295,239.896,27344033.54
9/20/2022,237.487,238.905,235.107,237.866,27174189.63
9/21/2022,239.65,242.977,234.384,234.433,29177328.96
9/22/2022,233.372,239.249,233.077,236.424,31659881.47
9/23/2022,235.01,236.569,230.752,233.42,34834808.46
9/26/2022,232.562,236.883,232.42,232.96,28228009.4
9/27/2022,235.443,237.227,230.064,231.94,27539531.6
9/28/2022,232.331,237.748,230.291,236.511,29589240.62
9/29/2022,234.344,235.413,229.977,233.01,28014005.37
9/30/2022,233.783,235.992,228.329,228.496,36382867.78
10/3/2022,230.958,237.041,230.222,236.186,29437040.36
10/4/2022,240.455,245.624,240.343,244.174,35560907.71
