Date,Open,High,Low,AdjClose,Volume
10/2/2018,177.916,179.103,177.299,177.72,26776518
10/3/2018,178.465,178.907,177.633,177.916,30445242
10/4/2018,177.2,177.299,173.23,174.496,84198309
10/5/2018,174.505,175.054,170.711,172.359,87091781
10/8/2018,171.613,172.828,169.301,171.31,69886623
10/9/2018,171.445,173.19,171.025,171.861,51317077
10/10/2018,170.808,170.896,164.084,164.298,119644915
10/11/2018,163.644,165.897,160.556,162.27,149551594
10/12/2018,166.455,167.291,163.546,166.772,106692126
10/15/2018,166.173,166.505,164.143,164.762,67817937
10/16/2018,166.485,169.967,166.182,169.563,75233027
10/17/2018,170.437,170.547,167.887,169.633,70015345
10/18/2018,168.976,169.055,164.975,165.683,86214419
10/19/2018,166.839,168.457,164.926,165.525,86671718
10/22/2018,166.525,167.672,165.114,166.388,55300675
10/23/2018,163.396,166.584,161.535,165.77,81072845
10/24/2018,165.624,165.857,157.878,158.174,107652727
10/25/2018,160.731,164.645,159.929,163.663,87254246
10/26/2018,158.076,162.625,157.134,159.448,136890531
10/29/2018,161.861,162.528,153.175,156.173,116928320
10/30/2018,155.782,158.85,155.009,158.741,96768574
10/31/2018,161.271,163.85,161.261,162.488,77165542
11/1/2018,162.74,164.781,161.495,164.625,55089065
11/2/2018,164.114,165.085,160.947,162.063,79400324
11/5/2018,162.28,162.329,159.849,161.674,41362177
11/6/2018,161.644,163.79,161.436,162.887,35965671
11/7/2018,164.79,167.997,164.438,167.997,53482376
11/8/2018,167.191,167.721,166.125,166.899,42117863
11/9/2018,165.339,165.75,162.819,164.104,52889854
11/12/2018,162.976,163.252,158.987,159.126,65406787
11/13/2018,159.919,162.162,158.82,159.261,67026539
11/14/2018,160.828,161.417,157.154,158.036,78672798
11/15/2018,157.702,161.261,156.39,160.828,76565299
11/16/2018,159.281,161.037,158.605,160.261,68346202
11/19/2018,159.526,159.674,154.557,155.057,70321421
11/20/2018,151.535,154.399,150.321,152.3,107292496
11/21/2018,154.312,154.969,152.37,153.427,44907811
11/23/2018,152.241,153.869,152.241,152.35,24566051
11/26/2018,154.458,155.938,153.791,155.868,43911519
11/27/2018,154.999,156.76,154.203,156.371,38262675
11/28/2018,157.497,161.417,156.41,161.417,73311219
11/29/2018,160.741,161.959,159.605,160.878,46914454
11/30/2018,161.106,162.152,160.301,162.053,38382555
12/3/2018,165.605,165.809,162.182,164.867,53066472
12/4/2018,163.978,164.477,158.348,158.547,73785486
12/6/2018,155.447,159.683,154.77,159.674,74956925
12/7/2018,158.937,159.889,153.889,154.399,84067550
12/10/2018,154.134,156.691,152.528,156.035,77303637
12/11/2018,158.488,158.595,155.222,156.537,61727610
12/12/2018,158.869,160.36,157.801,157.888,56210739
12/13/2018,158.869,159.605,156.939,157.937,48474051
12/14/2018,156.144,156.721,153.734,154.104,59103248
12/17/2018,153.467,154.672,149.41,150.614,78216426
12/18/2018,151.83,153.036,150.232,151.585,66518614
12/19/2018,151.409,153.754,146.725,147.86,85556205
12/20/2018,147.508,149.114,143.88,145.715,103476838
12/21/2018,146.448,147.439,140.359,141.196,147508175
12/24/2018,140.213,141.997,137.646,137.686,58534687
12/26/2018,139.244,146.37,138.232,146.293,103161408
12/27/2018,144.468,146.987,141.126,146.87,89448127
12/28/2018,147.782,149.272,145.576,146.792,81143985
12/31/2018,148.196,148.694,146.536,148.007,55253793
1/2/2019,144.859,149.43,144.752,148.595,61049969
1/3/2019,146.428,147.066,143.429,143.745,77979380
1/4/2019,146.027,150.634,145.596,149.88,77863790
1/7/2019,150.184,152.429,149.772,151.704,54257444
1/8/2019,153.105,153.605,150.831,153.066,51474046
1/9/2019,153.644,154.979,153.017,154.302,48454780
1/10/2019,153.135,154.83,152.29,154.741,40587732
1/11/2019,153.811,154.341,153.31,154.174,31450798
1/14/2019,152.869,153.477,152.193,152.82,32006919
1/15/2019,153.487,156.025,153.427,155.82,42600066
1/16/2019,156.055,157.154,155.735,155.792,35239850
1/17/2019,155.291,157.692,155.028,157.008,40989554
1/18/2019,158.145,159.281,157.192,158.547,59597706
1/22/2019,157.408,157.487,154.243,155.389,59106247
1/23/2019,156.173,156.889,153.811,155.595,39715024
1/24/2019,156.075,156.82,155.506,156.585,33781948
1/25/2019,157.791,158.927,157.31,158.448,38005785
1/28/2019,156.429,156.517,155.202,156.507,34905322
1/29/2019,156.585,156.623,154.468,155.028,32083984
1/30/2019,156.77,159.536,156.291,158.957,43092319
1/31/2019,159.899,162.152,159.722,161.359,38831528
2/1/2019,160.596,161.791,160.231,160.674,33500883
2/4/2019,160.731,162.672,160.556,162.672,27846935
2/5/2019,162.877,164.288,162.829,164.104,29345222
2/6/2019,164.133,164.428,162.877,163.614,29150992
2/7/2019,162.182,162.597,160.192,161.426,43811098
2/8/2019,159.977,161.781,159.82,161.751,30246097
2/11/2019,162.29,162.72,161.185,161.595,22339104
2/12/2019,162.73,164.212,162.478,163.978,30977036
2/13/2019,164.665,165.163,163.908,164.084,27195914
2/14/2019,163.476,164.859,162.956,164.278,31607326
2/15/2019,165.507,165.555,164.212,164.966,33894857
2/19/2019,164.448,165.789,164.438,165.282,20310514
2/20/2019,165.427,166.066,164.378,165.252,33969176
2/21/2019,164.799,165.262,163.8,164.665,26271740
2/22/2019,165.005,165.997,164.926,165.877,28906436
2/25/2019,167.132,167.584,166.368,166.485,33985602
2/26/2019,166.027,167.181,165.799,166.654,22866082
2/27/2019,165.907,166.752,164.79,166.554,26224434
2/28/2019,166.027,166.762,165.692,166.163,26144662
3/1/2019,167.341,167.574,166.153,167.321,32758281
3/4/2019,168.27,168.672,165.467,167.35,39670620
3/5/2019,167.447,167.997,166.634,167.476,23262280
3/6/2019,167.604,167.672,166.251,166.525,28342825
3/7/2019,166.076,166.153,163.879,164.486,41071353
3/8/2019,162.653,164.318,162.478,164.24,40962737
3/11/2019,164.887,167.771,164.877,167.653,31806993
3/12/2019,168.084,169.015,167.691,168.576,35387128
3/13/2019,169.455,170.721,169.222,169.84,44217503
3/14/2019,169.947,170.161,169.505,169.553,24754342
3/15/2019,170.239,171.632,170.104,171.124,39804548
3/18/2019,171.045,172.044,170.711,171.524,34264165
3/19/2019,172.201,173.015,171.368,172.092,38382109
3/20/2019,172.102,173.839,171.329,172.788,52126896
3/21/2019,172.28,175.738,172.241,175.487,44140609
3/22/2019,174.721,175.199,171.445,171.632,73651335
3/25/2019,171.025,171.898,170.074,171.31,48206353
3/26/2019,172.614,173.681,171.233,172.092,34589792
3/27/2019,172.309,172.749,169.751,171.005,38593668
3/28/2019,171.435,172.035,170.368,171.388,31593694
3/29/2019,172.663,172.848,171.661,172.692,36626170
4/1/2019,174.387,175.19,173.751,174.987,32219190
4/2/2019,175.161,175.807,174.741,175.641,23558956
4/3/2019,176.593,177.748,176.095,176.632,32909989
4/4/2019,176.662,177.338,175.566,176.563,29682139
4/5/2019,177.14,177.605,176.868,177.496,26710717
4/8/2019,177.21,178.094,176.494,177.956,23613464
4/9/2019,177.338,177.936,176.937,177.319,26666217
4/10/2019,177.585,178.339,177.358,178.28,25554155
4/11/2019,178.573,178.583,177.526,177.857,21487555
4/12/2019,178.661,178.75,177.886,178.631,25997527
4/15/2019,178.611,178.869,177.457,178.661,21923412
4/16/2019,179.289,179.681,178.73,179.279,28293146
4/17/2019,180.468,180.631,179.377,179.907,30848112
4/18/2019,180.208,180.507,179.085,180.121,29734195
4/22/2019,179.318,180.689,179.21,180.622,18659810
4/23/2019,181.065,183.142,180.826,182.915,35024078
4/24/2019,183.044,183.31,182.287,182.347,25985015
4/25/2019,183.729,183.799,182.103,183.024,30708623
4/26/2019,182.807,183.29,181.28,183.25,27423230
4/29/2019,183.22,183.888,182.945,183.602,22592562
4/30/2019,182.132,182.486,180.906,182.188,32766215
5/1/2019,183.358,183.888,181.454,181.592,36201286
5/2/2019,181.543,182.486,179.641,180.808,45890110
5/3/2019,182.327,183.829,181.987,183.69,31612362
5/6/2019,179.859,182.807,179.535,182.575,39920204
